Word 1,Word 2,Human (Mean),Mot 1,Mot 2
admission,ticket,5.536,admission,billet
alcohol,chemistry,4.125,alcool,chimie
aluminum,metal,6.625,aluminium,métal
announcement,effort,2.0625,annonce,effort
announcement,news,7.1875,annonce,nouvelles
announcement,production,1.6875,annonce,production
announcement,warning,4.625,annonce,avertissement
Arafat,Jackson,1,Arafat,Jackson
Arafat,peace,2.125,Arafat,paix
Arafat,terror,3.0625,Arafat,terreur
architecture,century,1.929,architecture,siècle
arrangement,accommodation,5.125,arrangement,logement
arrival,hotel,2.1875,arrivée,hôtel
asylum,madhouse,8.0625,asile,maison de fous
atmosphere,landscape,3.5625,atmosphère,paysage
attempt,peace,0.9375,tentative,paix
baby,mother,5.25,bébé,mère
bank,money,6.625,banque,argent
baseball,season,3.2565,baseball,saison
bed,closet,2.25,lit,placard
benchmark,index,5.5,benchmark,index
bird,cock,5.875,oiseau,coq
bird,crane,4.8125,oiseau,grue
bishop,rabbi,5.375,évêque,rabbin
board,recommendation,1.25,planche,recommandation
book,library,5.3125,livre,bibliothèque
book,paper,5.875,livre,papier
boxing,round,4.1875,boxe,rond
boy,lad,7.844,garçon,gamin
bread,butter,4.1875,pain,beurre
brother,monk,4.25,frère,moine
calculation,computation,8.0565,calcul,calcul
canyon,landscape,5.25,canyon,paysage
car,automobile,9.369,voiture,automobile
car,flight,2.4375,voiture,vol
cell,phone,6.25,portable,téléphone
cemetery,woodland,2.3125,cimetière,forêt
century,nation,2.1875,siècle,nation
century,year,4,siècle,année
championship,tournament,7.5,championnat,tournoi
chance,credibility,2.163,chance,crédibilité
change,attitude,3.375,changement,attitude
chord,smile,0.8125,accord,sourire
closet,clothes,4.625,placard,vêtements
coast,forest,2.125,côte,forêt
coast,hill,2.3125,côte,colline
coast,shore,8.2755,côte,rivage
company,stock,3.75,entreprise,action
competition,price,3,concurrence,prix
computer,internet,6.125,ordinateur,internet
computer,keyboard,5.9375,ordinateur,clavier
computer,laboratory,3.375,ordinateur,laboratoire
computer,news,1.6875,ordinateur,nouvelles
computer,software,6.1875,ordinateur,logiciel
concert,virtuoso,3.6875,concert,virtuose
consumer,confidence,1.6875,consommateur,confiance
consumer,energy,2.75,consommateur,énergie
country,citizen,4.3125,pays,citoyen
crane,implement,2.125,grue,implémenter
credit,card,4.5625,crédit,carte
credit,information,3.644,crédit,information
cucumber,potato,4.0625,concombre,patate
cup,article,1.3125,tasse,article
cup,artifact,2.5,tasse,artefact
cup,coffee,5.0625,tasse,café
cup,drink,4.75,tasse,boisson
cup,entity,1.375,tasse,entité
cup,food,1.875,tasse,artefact
cup,liquid,3.75,tasse,liquide
cup,object,4.25,tasse,objet
cup,substance,1.9375,tasse,substance
cup,tableware,6,tasse,table
currency,market,4.3125,monnaie,marché
day,dawn,4.625,jour,aube
day,summer,3.125,jour,été
death,inmate,1.944,mort,détenu
death,row,1.6875,mort,rangée
decoration,valor,3.25,décoration,valeur
delay,news,1.4375,délai,nouvelles
delay,racism,0.875,délai,racisme
deployment,departure,5.5,déploiement,départ
deployment,withdrawal,3.5,développement,retrait
development,issue,3.3125,développement,problème
direction,combination,2.0625,direction,combinaison
disability,death,2.3125,handicap,mort
disaster,area,1.625,catastrophe,espace
discovery,space,3.9375,découverte,espace
dividend,calculation,5.1875,dividende,calcul
dividend,payment,5.5,dividende,paiement
doctor,liability,2.5,médecin,responsabilité
doctor,nurse,6.125,médecin,infirmière
doctor,personnel,3.5625,docteur,personnel
dollar,buck,8.5625,dollar,balle
dollar,loss,2.1875,dollar,perte
dollar,profit,5.375,dollar,bénéfice
dollar,yen,6.3125,dollar,yen
drink,car,0.3125,boisson,voiture
drink,ear,0.375,boisson,oreille
drink,eat,4.125,boisson,manger
drink,mother,0.5625,boisson,mère
drink,mouth,4.7375,boisson,bouche
drug,abuse,4.9375,drogue,abus
energy,crisis,3.0505,énergie,crise
energy,laboratory,2.7565,énergie,laboratoire
energy,secretary,1.0625,énergie,secrétaire
environment,ecology,7.1875,environnement,écologie
equipment,maker,2.5625,équipement,fabricant
exhibit,memorabilia,4.625,exposition,mémoires
experience,music,2.3125,expérience,musique
family,planning,1.75,famille,planification
FBI,fingerprint,4.0625,FBI,empreinte digitale
FBI,investigation,5.0625,FBI,enquête
fertility,egg,5.1875,fertilité,œuf
fighting,defeating,5.5,combattre,vaincre
five,month,1.069,cinq,mois
focus,life,2.3125,concentration,vie
food,fruit,7.0625,nourriture,fruit
food,preparation,3.75,nourriture,préparation
food,rooster,2.5625,nourriture,coq
football,basketball,4.125,foot,basket
football,soccer,8.5625,foot,football
football,tennis,3.6875,foot,tennis
forest,graveyard,1.394,forêt,cimetière
fuck,sex,8.25,baiser,sexe
furnace,stove,8.0625,four,poêle
game,defeat,3.6875,jeu,défaite
game,round,5.1875,jeu,manche
game,series,4.5625,jeu,série
game,team,4.625,jeu,équipe
game,victory,4.6875,jeu,victoire
gem,jewel,8.375,gemme,bijou
gender,equality,3.4375,genre,égalité
glass,magician,1,verre,magicien
glass,metal,2.1875,verre,métal
government,crisis,3.625,gouvernement,crise
governor,interview,1.625,politique,interview
governor,office,4.3125,politique,bureau
grocery,money,3.375,magasin,argent
Harvard,Yale,4.875,Harvard,Yale
holy,sex,1.069,saint,sexe
hospital,infrastructure,3.3125,hôpital,infrastructure
hotel,reservation,5.0625,hôtel,réservation
hundred,percent,4.4375,cent,pourcent
image,surface,1.8125,image,surface
impartiality,interest,1.875,impartialité,intérêt
investigation,effort,3.75,enquête,effort
investor,earning,5.0625,investisseur,gain
jaguar,car,5.3125,jaguar,voiture
jaguar,cat,6.4375,jaguar,chat
Japanese,American,3.125,Japonais,américain
Jerusalem,Israel,6.4375,Jérusalem,Israël
Jerusalem,Palestinian,4.5,Jérusalem,palestinien
journal,association,2.625,journal,association
journey,car,4.0625,voyage,voiture
journey,voyage,7.5,voyage,voyage
king,cabbage,0.625,roi,chou
king,queen,5.6875,roi,reine
king,rook,3.125,roi,tour
lad,brother,4.9375,garçon,frère
lad,wizard,1.6875,garçon,magicien
law,lawyer,6.1875,loi,avocat
lawyer,evidence,3.9375,avocat,preuve
liability,insurance,4.375,responsabilité,assurance
life,death,4.375,vie,mort
life,lesson,3.1875,vie,leçon
life,term,3.8125,vie,terme
line,insurance,1.3125,ligne,assurance
liquid,water,7.0625,liquide,eau
listing,category,5.375,liste,catégorie
listing,proximity,1.4375,liste,proximité
lobster,food,5.75,homard,nourriture
lobster,wine,2.375,homard,vin
love,sex,6.375,amour,sexe
lover,quarrel,1.6875,amoureux,dispute
luxury,car,3.3125,luxe,voiture
magician,wizard,7.6875,magicien,mage
man,governor,4.25,homme,gouverneur
man,woman,4.5,homme,femme
Maradona,football,5.375,Maradona,foot
marathon,sprint,4.9375,marathon,sprint
Mars,scientist,4.375,Mars,scientifique
Mars,water,1.5625,Mars,eau
media,gain,1.375,média,gain
media,radio,6.4375,média,radio
media,trading,1.8125,médias,commerce
Mexico,Brazil,3.9375,Mexique,Brésil
midday,noon,8.9375,midi,midi
mile,kilometer,6.9375,mile,kilomètre
minister,party,3.0625,ministre,fête
ministry,culture,2.844,ministère,culture
minority,peace,1.1875,minorité,paix
money,bank,6,argent,banque
money,cash,9.0315,argent,cash
money,currency,7.9375,argent,monnaie
money,deposit,5.375,argent,dépôt
money,dollar,7.6875,argent,dollar
money,laundering,4.4565,argent,blanchiment
money,operation,1.875,argent,opération
money,possession,4.3125,argent,possession
money,property,5.0625,argent,propriété
money,wealth,7.0625,argent,richesse
money,withdrawal,4.0625,argent,retrait
monk,oracle,2.5625,moine,oracle
monk,slave,2.5625,moine,esclave
month,hotel,1.0625,mois,hôtel
morality,importance,2.5,morale,importance
morality,marriage,2.375,morale,mariage
movie,critic,3.1875,film,critique
movie,popcorn,3.875,film,pop-corn
movie,star,4.3125,film,star
movie,theater,6.125,film,théâtre
murder,manslaughter,7.5,meurtre,homicide
museum,theater,3.875,musée,théâtre
music,project,3.1875,musique,projet
nature,environment,6.9375,nature,environnement
nature,man,2.9375,nature,homme
network,hardware,3.8125,réseau,matériel
news,report,6.8125,actualités,rapport
noon,string,0.6875,midi,fil
observation,architecture,1.875,observation,architecture
oil,stock,2.9375,pétrole,action
OPEC,country,3.6875,OPEP,pays
OPEC,oil,5.5625,OPEP,pétrole
opera,industry,1.194,opéra,industrie
opera,performance,4.875,opéra,performance
peace,atmosphere,2.1875,paix,atmosphère
peace,insurance,1.7565,paix,assurance
peace,plan,1.5,paix,plan
phone,equipment,4.0315,téléphone,équipement
physics,chemistry,5.0625,physique,chimie
physics,proton,6.125,physique,proton
plane,car,3.5625,avion,voiture
planet,astronomer,5.4375,planète,astronome
planet,constellation,4.3125,planète,constellation
planet,galaxy,6.125,planète,galaxie
planet,moon,6,planète,lune
planet,people,3.375,planète,peuple
planet,space,5.3125,planète,espace
planet,star,5.625,planète,étoile
planet,sun,5.8125,planète,soleil
population,development,3.4755,population,développement
possibility,girl,1.069,possibilité,fille
practice,institution,3.5625,pratique,institution
precedent,antecedent,4,précédent,antécédent
precedent,cognition,2,précédent,savoir
precedent,collection,1.0625,précédent,collection
precedent,example,5.4375,précédent,exemple
precedent,group,1.5625,précédent,groupe
precedent,information,2.375,précédent,information
precedent,law,4.375,précédent,loi
prejudice,recognition,3.3125,préjudice,reconnaissance
preservation,world,2.4375,préservation,monde
president,medal,1.25,président,médaille
problem,airport,1.3125,problème,aéroport
problem,challenge,6.875,problème,défi
production,crew,3.1875,production,équipe
production,hike,0.9375,production,randonnée
professor,cucumber,0.3125,professeur,concombre
professor,doctor,6.125,professeur,médecin
profit,loss,3.875,profit,perte
profit,warning,1.6875,profit,avertissement
psychology,anxiety,3.75,psychologie,anxiété
psychology,clinic,4.344,psychologie,clinique
psychology,cognition,4,psychologie,cognition
psychology,depression,5.25,psychologie,dépression
psychology,discipline,3.3125,psychologie,discipline
psychology,doctor,5.294,psychologie,médecin
psychology,fear,3.1875,psychologie,peur
psychology,Freud,5.6875,psychologie,Freud
psychology,health,4.3625,psychologie,santé
psychology,mind,5.4375,psychologie,esprit
psychology,psychiatry,6.9375,psychologie,psychiatrie
psychology,science,5.9505,psychologie,science
reason,criterion,4.625,raison,critère
reason,hypertension,0.875,raison,hypertension
record,number,3.5,enregistrement,nombre
registration,arrangement,3.4375,enregistrement,arrangement
report,gain,2.25,rapport,gain
rock,jazz,5.5,rocher,jazz
rooster,voyage,0.9375,coq,voyage
school,center,3.875,école,centre
seafood,food,6.875,fruits de mer,nourriture
seafood,lobster,6.9375,fruits de mer,homard
seafood,sea,5.375,fruits de mer,mer
secretary,senate,3.75,secrétaire,sénat
seven,series,2.25,sept,série
shore,woodland,1.625,rivage,bois
shower,flood,3.5625,douche,inondation
shower,thunderstorm,4,douche,orage
sign,recess,1.5065,signe,pause
situation,conclusion,3.5625,situation,conclusion
situation,isolation,1.9375,situation,isolement
size,prominence,3.75,taille,proéminence
skin,eye,2.75,peau,œil
smart,student,3.625,intelligent,étudiant
smart,stupid,3.25,intelligent,stupide
space,chemistry,1.8875,espace,chimie
space,world,4.9375,espace,monde
start,match,2.5,démarrer,match
start,year,1.625,start,année
stock,CD,2.4375,actions,CD
stock,egg,1.4375,actions,œuf
stock,jaguar,0.9375,actions,jaguar
stock,life,1.8125,actions,vie
stock,live,1.875,actions,vivre
stock,market,4.875,actions,marché
stock,phone,0.75,actions,téléphone
street,avenue,7.6875,rue,avenue
street,block,6.5625,rue,bloc
street,children,1.294,rue,enfants
street,place,4.5,rue,place
stroke,hospital,3.625,AVC,hôpital
student,professor,4.9375,étudiant,professeur
sugar,approach,0.9375,sucre,approche
summer,drought,3.3125,été,sécheresse
summer,nature,4,été,nature
telephone,communication,6.6875,téléphone,communication
television,film,5.75,télé,film
television,radio,4.625,télé,radio
tennis,racket,5,tennis,racket
territory,kilometer,2.1875,territoire,kilomètre
territory,surface,3.594,territoire,surface
theater,history,1.9375,théâtre,histoire
tiger,animal,6.9375,tigre,animal
tiger,carnivore,6,tigre,carnivore
tiger,cat,6.75,tigre,chat
tiger,fauna,3.4375,tigre,faune
tiger,feline,5.0625,tigre,félin
tiger,jaguar,5.75,tigre,jaguar
tiger,mammal,6.25,tigre,mammifère
tiger,organism,3.0625,tigre,organisme
tiger,zoo,4.9375,tigre,zoo
tool,implement,5.3125,outil,implémenter
train,car,3.5,train,voiture
travel,activity,4.1875,voyage,activité
treatment,recovery,5.3125,traitement,récupération
type,kind,8.4375,type,genre
victim,emergency,2.6875,victime,urgence
video,archive,3.4375,vidéo,archive
viewer,serial,2.5625,spectateur,série
vodka,brandy,6.25,vodka,cognac
vodka,gin,6.0625,vodka,gin
volunteer,motto,1.3815,volontaire,devise
war,troops,6.375,guerre,troupes
water,seepage,3.875,eau,infiltration
weapon,secret,2.5,arme,secret
weather,forecast,5.4375,météo,prévision
Wednesday,news,1.125,mercredi,nouvelles
wood,forest,7.9375,bois,forêt
word,similarity,0.8125,mot,similitude